제목,언론사,날짜,링크
이석희 SK하이닉스 사장 '전략 시장 확대에 총력',연합뉴스,20200102,http://yna.kr/PYH20200102185800013?did=1196m
"SK하이닉스, 반도체 부진에도 '100% 생산성 격려금'",연합뉴스,20200103,http://yna.kr/AKR20200103146600003?did=1195m
"SK하이닉스, '기본급 100%' 생산성 격려금 지급",SBS Biz,20200104,https://cnbc.sbs.co.kr/article_hub/10000968159?division=NAVER
"SK하이닉스, 기본급 100% 해당 하반기 '생산성 격려금' 지급",조선비즈,20200105,https://biz.chosun.com/site/data/html_dir/2020/01/05/2020010501001.html?utm_source=naver&utm_medium=original&utm_campaign=biz
한 달 만에 27% 급등…SK하이닉스 주가 강세 이어가나,연합인포맥스,20200106,http://news.einfomax.co.kr/news/articleView.html?idxno=4064208
"[CES2020]'반도체 굴기' SK하이닉스 ""메모리 중심의 세상 만든다""",파이낸셜뉴스,20200107,http://www.fnnews.com/news/202001031112423150
"[특징주] SK하이닉스, 2주 만에 역대 최고가 경신(종합)",연합뉴스,20200108,http://yna.kr/AKR20200108086851008?did=1195m
'진격의 반도체' 三電·SK하이닉스 역대 최고가 경신,뉴스1,20200109,http://news1.kr/articles/?3813092
다시 날개펴는 삼성전자·SK하이닉스…시총 비중 30% '코앞',연합뉴스,20200110,http://yna.kr/AKR20200109167500008?did=1195m
영업익 1년 만에 ‘10분의 1’ 하락한 SK하이닉스 …올해 반등하나,이투데이,20200111,http://www.etoday.co.kr/news/section/newsview.php?idxno=1843707
"'SK하이닉스·퀄컴·인텔' CES 채운 반도체…""脫IT·車선점""",머니투데이,20200112,http://news.mt.co.kr/mtview.php?no=2020011212312490408
"[마켓뷰] 삼성전자·SK하이닉스, 각각 6만원·10만원 뚫었다",조선비즈,20200113,https://biz.chosun.com/site/data/html_dir/2020/01/13/2020011302635.html?utm_source=naver&utm_medium=original&utm_campaign=biz
삼성전자-SK하이닉스 경영진 '대박'…웃지 못하는 CEO,한국경제TV,20200114,http://news.wowtv.co.kr/NewsCenter/News/Read?articleId=A202001140330&t=NNv
"삼성전자·SK하이닉스, 동반 하락세",조선비즈,20200115,https://biz.chosun.com/site/data/html_dir/2020/01/15/2020011500995.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"`D램 치중` SK하이닉스, 지난해 영업益 2.9조…전년比 `7분의 1`토막",이데일리,20200116,http://www.edaily.co.kr/news/newspath.asp?newsid=03913046625638376
"KB證 ""SK하이닉스, 2분기부터 실적 개선 진입…목표가↑""",뉴시스,20200117,http://www.newsis.com/view/?id=NISX20200117_0000891729&cID=10401&pID=10400
"KB증권 ""SK하이닉스, 2분기부터 실적 개선 진입""",이코노뉴스,20200118,http://www.econonews.co.kr/news/articleView.html?idxno=104117
SK하이닉스 '반도체 브레인' 집결…창사 이래 최대 R&D센터 내달 열어,한국경제,20200119,https://www.hankyung.com/economy/article/2020011975711
인사말 하는 김동섭 SK하이닉스 대외협력총괄사장,연합뉴스,20200120,http://yna.kr/PYH20200120068000061?did=1196m
"삼성전자 주가 '시총 비중 상한제'에 1%대 하락, SK하이닉스도 약세",비즈니스포스트,20200121,http://www.businesspost.co.kr/BP?command=article_view&num=160521
반도체 수출 8.7% 증가..`삼전·SK하이닉스` 영업익 92% 늘어날 듯,이데일리,20200122,http://www.edaily.co.kr/news/newspath.asp?newsid=01918806625640344
"SK하이닉스 中법인 ""직급·직책 대신 영어 이름 불러요""",뉴스1,20200123,http://news1.kr/articles/?3823590
전문인력 양성 위한 첫 '반도체 대학'...삼성-SK하이닉스 등 지원 이어져...,시선뉴스,20200124,http://www.sisunnews.co.kr/news/articleView.html?idxno=120034
"재고 탄력 대응 통했다…삼성·SK하이닉스, 다시 날개 펼까",에너지경제,20200125,http://www.ekn.kr/news/article.html?no=477615
친환경 기업 거듭나는 SK하이닉스 '폐기물 재활용률' 높인다,아시아경제,20200126,https://view.asiae.co.kr/article/2020012600043099626
LG화학·SK하이닉스…내달 회사채 1兆씩 찍는다,한국경제,20200127,https://www.hankyung.com/finance/article/2020012790181
"28일, 기관 거래소에서 삼성전자(-3.29%), SK하이닉스(-2.43%) 등 순매수",한국경제,20200128,https://www.hankyung.com/finance/article/202001281928L
"[단독]SK하이닉스, 지난해 1700% 줬던 성과급 안준다…왜?",머니투데이,20200129,http://news.mt.co.kr/mtview.php?no=2020012915341164247
"SK하이닉스, '특별기여금' 400% 지급",조선비즈,20200130,https://biz.chosun.com/site/data/html_dir/2020/01/30/2020013003006.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"실적쇼크 SK하이닉스, 투자보폭 좁힌다",서울경제,20200131,https://www.sedaily.com/NewsView/1YXV0VGEY3
"[TF초점] 삼성·SK하이닉스, 1년 새 달라진 온도차…올해 전망은",더팩트,20200201,http://news.tf.co.kr/read/economy/1778592.htm
"SK하이닉스, 2019년 경영실적 발표… 26조9천907억 매출",경인일보,20200202,http://www.kyeongin.com/main/view.php?key=20200202010000105
"유진證 ""SK하이닉스, 주가 조정시 매수 추천""",뉴시스,20200203,http://www.newsis.com/view/?id=NISX20200203_0000905893&cID=10401&pID=10400
SK하이닉스가 LG OLED 사업 응원하는 까닭,뉴스웨이,20200204,http://www.newsway.co.kr/news/view?tp=1&ud=2020020414360574972
"삼성전자, 세계 R&D투자 2위… LG전자·SK하이닉스·현대차 ‘상위권’",아시아투데이,20200205,http://www.asiatoday.co.kr/view.php?key=20200205010002489
'반도체 폐수 방류' 논란…SK하이닉스 '수정안' 보니,JTBC,20200206,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11933195
"SK하이닉스, 임직원 참여 행복나눔기금 10년간 224억원 기부",연합뉴스,20200207,http://yna.kr/AKR20200207075700003?did=1195m
"SK하이닉스, 행복나눔기금 29억 기탁…10년간 224억",뉴시스,20200208,http://www.newsis.com/view/?id=NISX20200207_0000911707&cID=13001&pID=13000
SK하이닉스 '행복나눔기금' 전달,충청투데이,20200209,http://www.cctoday.co.kr/news/articleView.html?idxno=2051432
"[이슈분석] 삼성전자·SK하이닉스, 메모리 투자 시동 건다",전자신문,20200210,http://www.etnews.com/20200210000131
"SK하이닉스, 사상 최대 1조600억 회사채 발행…배경은?",SBS Biz,20200211,https://cnbc.sbs.co.kr/article_hub/10000972534?division=NAVER
"이규민(민) 예비후보, SK하이닉스 오·폐수 방류 문제에 김학용(한) 의원...",경인일보,20200212,http://www.kyeongin.com/main/view.php?key=20200212010003134
"[단독]SK하이닉스, 1590억 들여 11년만에 '연수원' 짓는다",뉴스1,20200213,http://news1.kr/articles/?3840841
전세계 웨이퍼 생산능력 1위 삼성전자…SK하이닉스 4위 차지,뉴스1,20200214,http://news1.kr/articles/?3842039
"[(주간/종합) 코스피 52주 신고가,신저가] SK하이닉스, 진양산업, 덕성우...",파이낸셜포스트,20200215,http://www.fintechpost.co.kr/news/articleView.html?idxno=101456
삼성전자·SK하이닉스 등 대기업 영업이익 뒷걸음,헤럴드경제,20200216,http://news.heraldcorp.com/view.php?ud=20200216000009
"SK하이닉스, +0.48% 52주 신고가",조선비즈,20200217,https://biz.chosun.com/site/data/html_dir/2020/02/17/2020021701331.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"SK하이닉스 분당캠퍼스, 매주 수요일 구내식당 휴무",연합뉴스,20200218,http://yna.kr/AKR20200218142700061?did=1195m
"SK하이닉스 신입사원, 대구 확진의심자 접촉",서울신문,20200219,https://www.seoul.co.kr/news/newsView.php?id=20200219500179&wlog_tag3=naver
"SK하이닉스, 신입사원 확진의심자 접촉에 800여명 자가격리",연합뉴스,20200220,http://yna.kr/AKR20200220038300003?did=1195m
[코로나19] SK하이닉스 내 의심자 2명 최종 음성 판정,아이뉴스24,20200221,http://www.inews24.com/view/1244548
"(주간 외국인VS기관)기관 고려아연·외국인, SK하이닉스 대거 매수",뉴스토마토,20200222,http://www.newstomato.com/ReadNews.aspx?no=953982
"SK하이닉스 교육생, 코로나19 1차 검사서 '음성' 판정",경인일보,20200223,http://www.kyeongin.com/main/view.php?key=20200221010005470
SK하이닉스 청주 사업장 '접촉자' 확인,충북일보,20200224,https://www.inews365.com/news/article.html?no=612360
"[뉴시스 일자리대상]SK하이닉스, 산업통상자원부 장관상 수상",뉴시스,20200225,http://www.newsis.com/view/?id=NISX20200224_0000929812&cID=13001&pID=13000
청주시내 곳곳에서 'SK하이닉스 LNG발전소 반대',굿모닝충청,20200226,http://www.goodmorningcc.com/news/articleView.html?idxno=227665
"SK하이닉스, 작년 연구개발비 3조2천억원…역대 최대",연합뉴스,20200227,http://yna.kr/AKR20200227106700003?did=1195m
"[특징주] SK하이닉스, 코로나 확산 우려에 6거래일째 하락",뉴스1,20200228,https://www.news1.kr/articles/?3856867
불안한 SK하이닉스…가격상승 VS 코로나 공포,아시아경제,20200229,https://view.asiae.co.kr/article/2020022911353030963
"외국인, 지난주 삼성·하이닉스만 2조1228억원 팔았다",전자신문,20200301,http://www.etnews.com/20200301000005
中 의존도 높아진 하이닉스···코로나 毒될까,서울경제,20200302,https://www.sedaily.com/NewsView/1Z01L3VBBP
"SK하이닉스, 전 직원 발열체크 등 방역 강화…자가격리자 800여명 격리해...",뉴시스,20200303,http://www.newsis.com/view/?id=NISX20200303_0000940735&cID=13001&pID=13000
재고 쌓이는 SK하이닉스,아시아경제,20200304,https://view.asiae.co.kr/article/2020030411434662765
"[연속 순매도] 외인, SK하이닉스 9일째 팔아",아이투자,20200305,http://www.itooza.com/common/iview.php?no=2020030517093777340
8~14일 삼성전자·SK하이닉스 등 105개사 전자투표 개시,뉴스핌,20200306,http://www.newspim.com/news/view/20200306001174
"(주간 외국인VS기관)기관 SK하이닉스·외국인, 한진칼 대거 매수",뉴스토마토,20200307,http://www.newstomato.com/ReadNews.aspx?no=957572
"中, 한국인 비자 발급 사실상 중단…삼성전자·SK하이닉스 ""애가 탄다""",한국경제,20200308,https://www.hankyung.com/economy/article/202003084660i
"정 군수, SK하이닉스 계약 우송영농조합법인 방문",충청일보,20200309,http://www.ccdailynews.com/news/articleView.html?idxno=1055356
SK하이닉스 반도체 도서 '패키지와 테스트' 출간,연합뉴스,20200310,http://yna.kr/PYH20200310022400003?did=1196m
"SK하이닉스, 코로나19 구호 인력에 5억원 물품 지원",뉴시스,20200311,http://www.newsis.com/view/?id=NISX20200311_0000950821&cID=13001&pID=13000
'1조' 빚내서 삼성전자·하이닉스 '풀베팅'한 개미들,머니투데이,20200312,http://news.mt.co.kr/mtview.php?no=2020031212090477845
"주총 앞둔 삼성·SK하이닉스, 우한코로나에 긴장… ""좌석간격 띄고, 전자...",조선비즈,20200313,https://biz.chosun.com/site/data/html_dir/2020/03/13/2020031301203.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"SK하이닉스, 주주총회 주주 외 외부인 출입 통제…코로나19 확산 방지 주...",일요서울,20200314,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=375287
"SK하이닉스 이천사업장, 첫 코로나19 확진…감염 우려 없어 정상운영",한국경제,20200315,https://www.hankyung.com/economy/article/2020031521727
"SK하이닉스, 코로나19로 업황 악화…목표가↓-하나",이데일리,20200316,http://www.edaily.co.kr/news/newspath.asp?newsid=01662966625703976
"현대차證 ""SK하이닉스, 2분기도 디램가격 상승 전망""",뉴시스,20200317,http://www.newsis.com/view/?id=NISX20200317_0000958070&cID=10401&pID=10400
‘시총1조’↑ 상장사 40곳 넘게 줄어…‘대장주’ 삼성전자 ·SK하이닉...,동아일보,20200318,http://www.donga.com/news/article/all/20200318/100222861/1
"[청주소식] SK하이닉스, 마스크 나눔창구에 10만장 기부 등",뉴시스,20200319,http://www.newsis.com/view/?id=NISX20200319_0000962675&cID=10899&pID=10800
발언하는 이석희 SK하이닉스 CEO,연합뉴스,20200320,http://yna.kr/PYH20200320099400003?did=1196m
"삼성 구미 7번째 코로나 확진, 200명 격리 SK하이닉스는 '최종음성'",파이낸셜뉴스,20200321,http://www.fnnews.com/news/202003211502558327
"이천시, SK하이닉스와 승리스포츠에서 마스크와 영양식품 기탁",기호일보,20200322,http://www.kihoilbo.co.kr/news/articleView.html?idxno=857699
"눈물로 팔았던 매그나칩, SK하이닉스가 투자자로 나선 이유",조선비즈,20200323,https://biz.chosun.com/site/data/html_dir/2020/03/20/2020032005195.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"삼성전자·SK하이닉스, 외국인·기관 동반매수…10% 넘게 ↑",아이뉴스24,20200324,http://www.inews24.com/view/1252597
"한화투자 ""SK하이닉스, 과매도 구간 일단락…주가 상승 기대""",연합뉴스,20200325,http://yna.kr/AKR20200325036800008?did=1195m
"SK하이닉스, 특별관계자 지분변동",국민일보,20200326,http://news.kmib.co.kr/article/view.asp?arcid=0014410028&code=61141211&cp=nv
'언택트' 수요 속 美 마이크론 실적 기대 이상…삼성·SK하이닉스도?,아이뉴스24,20200327,http://www.inews24.com/view/1253371
"[표](27일기준)(코스피 외국인 순매수 Top 30) NAVER 1위 약 549억원, SK하...",파이낸셜포스트,20200328,http://www.fintechpost.co.kr/news/articleView.html?idxno=106792
"삼성전자·SK하이닉스, 폭락국면에서 증시 영향력 더 커졌다",SBS,20200329,https://news.sbs.co.kr/news/endPage.do?news_id=N1005721547&plink=ORI&cooper=NAVER
"SK하이닉스, '사회적 가치 창출' 협력사에 인센티브",연합뉴스,20200330,http://yna.kr/AKR20200330075700003?did=1195m
"SK하이닉스 SPC, 매그나칩 파운드리 5,300억에 인수",서울경제,20200331,https://www.sedaily.com/NewsView/1Z0EWHT6R5
50대 기업 중 연봉킹 ‘SK하이닉스’…삼성전자는 5위,뉴시스,20200401,http://www.newsis.com/view/?id=NISX20200401_0000977991&cID=13001&pID=13000
지난해 고용 많이한 기업 2위는 SK하이닉스…1위는?,이데일리,20200402,http://www.edaily.co.kr/news/newspath.asp?newsid=01476006625732184
"SK하이닉스, 中 법인에 3.3조 자금 대여",아이뉴스24,20200403,http://www.inews24.com/view/1255227
"SK하이닉스, 中 우시 공장에 3조 투입…코로나19에도 투자 유지 주목",전자신문,20200404,http://www.etnews.com/20200403000192
"SK하이닉스, 실속투자 확대…경쟁력 제고",아시아경제,20200405,https://view.asiae.co.kr/article/2020040513470662673
[올쇼TV]오토메이션애니웨어 14일 '2020 RPA와 SK하이닉스의 디지털 혁신...,전자신문,20200406,http://www.etnews.com/20200406000330
"5년간 벤처투자기업 기업가치, 총 124조…SK하이닉스의 두배",이투데이,20200407,http://www.etoday.co.kr/news/section/newsview.php?idxno=1880705
"SK하이닉스, 최신 기업용 SSD 'PE8000' 시리즈 공개",뉴시스,20200408,http://www.newsis.com/view/?id=NISX20200408_0000986743&cID=13001&pID=13000
"SK하이닉스, 이천 'M16' 공장 조기 가동...수요 반등 D램 시장 잡는다",전자신문,20200409,http://www.etnews.com/20200409000308
